iso3_code,connectivity_govt,school_id_giga,num_students,num_classrooms,connectivity,school_id_govt,school_name,latitude,longitude,education_level,connectivity_type_govt,admin1,admin1_id_giga,admin2,admin2_id_giga,num_computers,num_teachers,source_lat_lon,country,unicef_region,itu_region,continent
BIH,No,000f2374-00ef-3868-b3e7-ee7a84b8cf66,22,2,No,L-10-A-548,"ЈУ ОШ ""МИЛОШ ЦРЊАНСКИ"" ПОТОЧАНИ",44.89829635620120,17.500816345214800,Primary,Не постоји активна интернет веза,Republika Srpska,BIH001,Banja Luka,BIH001001,0,4,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,002756a9-0fac-3db8-b67a-1d70ef8f94bd,246,9,Yes,J-6-B-105,"JU OŠ ""Silvije Strahimir Kranjčević"", Sarajevo",43.86116027832030,18.420852661132800,Primary,Kablovski internet,Federacija Bosne i Hercegovine,BIH002,Sarajevo,BIH002009,38,26,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,0081b759-9816-3839-8e6b-23345d7a30d8,556,30,Yes,J-1-B-63,"JAVNA USTANOVA OSNOVNA ŠKOLA ""STARI ILIJAŠ"" ILIJAŠ",43.846858978271500,18.320589065551800,Primary,Fiber-optički internet,Federacija Bosne i Hercegovine,BIH002,Sarajevo,BIH002009,55,66,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,No,00bf50b7-220a-345c-b5d6-19555f7a05c1,27,5,No,K-4-A-9,"Osnovna Škola ""Fra Lovro Karaula"" PŠ Smričani",43.7723274230957,16.998600006103500,Primary,Ne postoji aktivna internet veza,Federacija Bosne i Hercegovine,BIH002,Kanton 10,BIH002010,0,5,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,No,00f470b9-4e32-3ec2-a3ce-05389331b6f7,4,2,No,H-5-A-24,Osnovna škola Vladimira Pavlovića u Čapljini,43.06568908691410,17.660436630249000,Primary,Ne postoji aktivna internet veza,Federacija Bosne i Hercegovine,BIH002,Hercegovačko-Neretvanski,BIH002007,0,1,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,013618db-2bd7-3360-8de2-0900d6ecac18,156,8,Yes,F-3-E-1,"JU Osnovna muzička škola ""Avdo Smailović"" Goražde",43.66791915893560,18.975746154785200,Other,Fiber-optički internet,Federacija Bosne i Hercegovine,BIH002,Bosansko-Podrinjski,BIH002005,3,13,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,No,0183e312-c733-36c7-91f6-ad37800b8137,6,4,No,L-43-A-101,"Јавна установа Основна школа ""Соколац"" - ПО Кнежина",44.025779724121100,18.757219314575200,Primary,Не постоји активна интернет веза,Republika Srpska,BIH001,Sokolac,BIH001005,0,3,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,01b0b9dc-c7dc-3ada-88b0-fdca3826d71f,626,17,Yes,J-6-B-23,JU OŠ ''SAFVET-BEG BAŠAGIĆ'',43.85688781738280,18.421571731567400,Primary,Kablovski internet,Federacija Bosne i Hercegovine,BIH002,Sarajevo,BIH002009,33,41,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,01c71912-1aaa-383b-b80c-c98a2997524b,521,23,Yes,L-3-B-442,"ЈУ ОШ ""Вук Стефановић Караџић",45.18707275390630,16.81325912475590,Primary,Фибер-оптички интернет,Republika Srpska,BIH001,Banja Luka,BIH001001,4,50,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,01caf475-fc02-3e97-b615-2726d43be6f6,69,9,Yes,L-10-B-374,"ЈУ ОШ ""Вук Караџић",44.80881881713870,17.604211807251000,Primary,(A)DSL интернет,Republika Srpska,BIH001,Banja Luka,BIH001001,2,16,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
